@relation Raisin_Grains_Dataset-weka.filters.unsupervised.attribute.Standardize

@attribute Area numeric
@attribute MajorAxisLength numeric
@attribute MinorAxisLength numeric
@attribute Eccentricity numeric
@attribute ConvexArea numeric
@attribute Extent numeric
@attribute Perimeter numeric
@attribute Class {Kecimen,Besni}

@data
-0.007182,0.097523,-0.023945,0.422906,-0.0157,1.106128,0.066237,Kecimen
-0.324037,-0.208896,-0.229165,0.224352,-0.304079,-0.287617,-0.161163,Kecimen
0.078249,0.097704,0.236856,0.186136,0.062079,-1.157606,0.155858,Kecimen
-1.073689,-1.244359,-0.914765,-1.069028,-1.075567,0.001711,-1.175261,Kecimen
-0.215274,-0.678581,0.726949,-2.408488,-0.238491,1.744289,-0.33845,Kecimen
-0.988719,-0.972159,-1.087562,-0.046401,-0.976669,-0.767775,-1.037647,Kecimen
-1.161787,-1.040925,-1.567482,0.460111,-1.159748,-0.62868,-1.249654,Kecimen
-0.688479,-0.848661,-0.381251,-0.835761,-0.707814,0.824607,-0.849419,Kecimen
-1.167837,-0.928515,-1.638608,0.708124,-1.139168,-0.027624,-1.15493,Kecimen
-0.600586,-0.551256,-0.534449,0.027829,-0.614705,-0.657067,-0.673436,Kecimen
-0.18889,0.159647,-0.443351,0.824864,-0.164979,-0.472658,0.037983,Kecimen
-1.130173,-1.11697,-1.35105,0.030075,-1.13235,-0.045629,-1.267636,Kecimen
-1.137455,-1.329935,-1.053734,-1.081284,-1.129602,-0.161822,-1.322885,Kecimen
-0.282347,-0.793487,0.737585,-3.000034,-0.302779,1.361825,-0.449791,Kecimen
-0.349651,-0.371707,-0.13263,-0.137872,-0.352694,-0.361455,-0.296524,Kecimen
-1.390672,-1.459693,-1.735978,-0.156866,-1.358672,-0.335852,-1.514053,Kecimen
-0.593151,-0.239979,-0.960283,0.855717,-0.607494,1.071004,-0.502117,Kecimen
-0.590792,-0.660455,-0.374797,-0.388275,-0.600282,-0.084348,-0.673563,Kecimen
-1.141198,-1.091441,-1.43386,0.197798,-1.13988,0.268015,-1.282953,Kecimen
-0.438569,-0.105411,-0.75801,0.822172,-0.461698,0.534283,-0.382028,Kecimen
-0.463517,-0.661464,-0.039187,-0.889976,-0.474305,0.652549,-0.476343,Kecimen
-0.780935,-0.865699,-0.64103,-0.464879,-0.780516,0.450752,-0.868026,Kecimen
-0.148098,-0.29142,0.276974,-0.491293,-0.165789,-0.24562,-0.217529,Kecimen
-0.680813,-1.115371,0.383521,-4.0057,-0.648873,-1.04571,-0.709141,Kecimen
0.217241,0.139652,0.414652,0.072923,0.163822,0.085083,0.058497,Kecimen
-0.312397,-0.540402,0.179462,-0.918029,-0.335868,0.500661,-0.389827,Kecimen
-0.375291,-0.783166,0.430636,-2.186003,-0.408177,1.481795,-0.567761,Kecimen
-0.691171,-0.810152,-0.460551,-0.607649,-0.703816,-0.017208,-0.735317,Kecimen
-0.173917,-0.716851,0.863241,-2.927501,-0.211779,1.085723,-0.372724,Kecimen
-0.7154,-0.623415,-0.631862,0.019817,-0.685224,0.834445,-0.668892,Kecimen
0.024124,-0.009993,0.224092,0.049462,-0.011555,0.982932,-0.011067,Kecimen
-1.179298,-1.063447,-1.588404,0.449206,-1.161367,-0.038594,-1.231752,Kecimen
-0.319858,-0.574819,0.227625,-1.085401,-0.33469,0.440856,-0.329169,Kecimen
-0.671864,-0.695886,-0.573034,-0.191534,-0.681618,0.885044,-0.706574,Kecimen
-1.060895,-1.526158,-0.371709,-4.56529,-1.052535,-0.285943,-1.174713,Kecimen
-1.203605,-1.561508,-0.818479,-2.914288,-1.179567,0.815091,-1.391688,Kecimen
-0.819882,-1.082699,-0.396626,-1.570511,-0.820767,0.070697,-0.875978,Kecimen
-0.862059,-0.558997,-1.249775,0.773367,-0.852016,-1.647526,-0.720246,Kecimen
-0.265015,-0.215395,-0.170004,0.154311,-0.293507,0.41216,-0.238273,Kecimen
-0.97231,-1.238122,-0.646189,-1.635218,-0.988639,1.250648,-1.176715,Kecimen
0.190781,-0.2916,1.05595,-1.639974,0.166839,1.001269,0.129613,Kecimen
-0.418955,-0.575919,-0.013827,-0.714324,-0.439573,0.298801,-0.471086,Kecimen
-0.275604,-0.479853,0.166523,-0.750215,-0.292649,0.612685,-0.257972,Kecimen
0.117426,-0.538835,1.324823,-3.204831,0.063428,0.925763,-0.110477,Kecimen
-0.269066,0.048261,-0.524272,0.784174,-0.27099,-1.267801,-0.090288,Kecimen
-0.774936,-0.867854,-0.448755,-0.775784,-0.75925,-1.017511,-0.634826,Kecimen
-0.463978,-0.478154,-0.307175,-0.117569,-0.487256,0.517503,-0.523584,Kecimen
-1.18717,-1.46867,-0.972678,-1.868193,-1.179125,2.334309,-1.371543,Kecimen
-1.076971,-0.869748,-1.456769,0.590144,-1.064137,0.620459,-1.079467,Kecimen
-0.902031,-1.024976,-0.729102,-0.733856,-0.907818,-0.454801,-0.961713,Kecimen
-1.099046,-0.976543,-1.423774,0.388514,-1.098525,-0.810389,-1.169329,Kecimen
0.688267,0.665307,0.68947,0.454267,0.665401,-0.329223,0.639201,Kecimen
-0.56605,-0.239028,-0.888495,0.797189,-0.584118,-1.543474,-0.49587,Kecimen
-1.07997,-0.841706,-1.534661,0.711951,-1.039976,-1.220862,-0.967272,Kecimen
0.606272,0.408333,0.883045,-0.004347,0.541337,-0.176087,0.483194,Kecimen
-1.031306,-1.06966,-1.028041,-0.354345,-1.029772,-0.593484,-1.111637,Kecimen
-0.78655,-1.028011,-0.316995,-1.532402,-0.766339,-0.110016,-0.781269,Kecimen
-0.892211,-0.840682,-0.95236,0.029037,-0.876397,-0.146116,-0.838442,Kecimen
-0.480593,-0.882846,0.42811,-2.643524,-0.465132,0.514623,-0.461549,Kecimen
-1.600353,-1.769295,-2.197877,-0.154617,-1.595492,-0.399563,-1.997458,Kecimen
-0.539205,-0.709888,-0.160273,-0.824415,-0.541807,-0.132068,-0.593695,Kecimen
-1.024691,-1.019766,-1.114984,-0.10725,-1.006152,0.061021,-1.087967,Kecimen
-0.236734,0.111107,-0.514725,0.834734,-0.232236,-1.071949,-0.031329,Kecimen
-0.591946,-0.761435,-0.175161,-0.938712,-0.601852,-0.691382,-0.613366,Kecimen
-0.701042,-0.49629,-0.927796,0.539079,-0.71066,-0.632616,-0.64055,Kecimen
-0.729041,-0.732371,-0.651468,-0.159528,-0.729031,-0.037817,-0.673534,Kecimen
-0.86529,-0.85028,-0.917586,-0.035645,-0.874361,-0.46672,-0.926905,Kecimen
0.036687,0.108467,0.089192,0.335695,0.000366,-0.828853,0.050362,Kecimen
-0.925004,-0.946289,-0.914631,-0.240248,-0.938773,0.97968,-0.959214,Kecimen
-0.415596,-0.375923,-0.354818,0.109382,-0.420441,0.35589,-0.351166,Kecimen
0.193397,0.1775,0.514875,0.028448,0.197941,-0.459185,0.326333,Kecimen
-0.701376,-0.406168,-0.926593,0.648658,-0.658341,-0.433212,-0.408047,Kecimen
-0.481977,-0.444797,-0.252813,-0.123657,-0.448649,-0.038433,-0.288751,Kecimen
-0.494438,-0.497214,-0.34901,-0.100879,-0.501041,0.2497,-0.426694,Kecimen
-0.899262,-1.04238,-0.69541,-0.843419,-0.901367,-0.067853,-0.991461,Kecimen
-0.95467,-1.030594,-0.92361,-0.424735,-0.967471,0.399403,-1.067084,Kecimen
-0.30714,-0.342359,-0.119784,-0.10197,-0.337241,0.857745,-0.308907,Kecimen
-1.158069,-1.184989,-1.301408,-0.197625,-1.156118,0.478997,-1.284772,Kecimen
-0.277424,-0.05069,-0.410385,0.590325,-0.307709,1.108073,-0.270863,Kecimen
-1.024384,-0.928835,-1.257823,0.262432,-1.030165,1.378934,-1.11594,Kecimen
-0.938004,-0.881477,-1.039816,0.067058,-0.939018,-0.13161,-0.98325,Kecimen
-0.869546,-0.86046,-0.758342,-0.278743,-0.835852,0.092326,-0.762607,Kecimen
-0.747501,-0.729012,-0.69623,-0.093656,-0.706563,-0.733536,-0.636659,Kecimen
0.285392,-0.374137,1.448533,-2.707391,0.234513,0.765178,0.03906,Kecimen
-0.261963,-0.294069,-0.050876,-0.09934,-0.275111,0.081482,-0.237689,Kecimen
2.386893,3.559497,1.374354,1.574742,3.193823,-4.588129,3.972944,Kecimen
-0.424032,-0.346643,-0.37611,0.177418,-0.446024,-0.727144,-0.481157,Kecimen
-1.239603,-1.407962,-1.314751,-0.806548,-1.243929,-0.036129,-1.497948,Kecimen
-1.347802,-1.407989,-1.61962,-0.225646,-1.318838,0.136984,-1.515894,Kecimen
-0.993411,-1.112849,-0.880614,-0.717827,-0.989742,-0.016844,-1.089713,Kecimen
-0.869392,-0.964001,-0.736012,-0.558568,-0.877967,0.868494,-1.009192,Kecimen
-0.803421,-0.90997,-0.587593,-0.659689,-0.796901,-0.25757,-0.847483,Kecimen
-0.067897,-0.074553,0.114475,0.066913,-0.101279,0.057099,-0.092133,Kecimen
-0.532282,-0.600461,-0.325306,-0.329783,-0.55336,1.074201,-0.646142,Kecimen
-0.911774,-0.857316,-0.954783,0.000453,-0.868597,0.279161,-0.845105,Kecimen
-1.252141,-1.392061,-1.375517,-0.632957,-1.2519,0.712112,-1.448927,Kecimen
-0.208787,-0.610647,0.565143,-1.79734,-0.249062,1.489651,-0.439241,Kecimen
-0.731297,-0.87635,-0.414362,-0.85673,-0.750714,0.494085,-0.896149,Kecimen
-1.016025,-1.078514,-1.04067,-0.355905,-1.01324,-0.408941,-1.115407,Kecimen
-0.330755,-0.758681,0.512662,-2.267285,-0.37499,0.602857,-0.560853,Kecimen
-0.159559,-0.057324,-0.179653,0.376842,-0.197283,1.17592,-0.186915,Kecimen
-0.768782,-0.471743,-1.094063,0.728132,-0.765726,0.285633,-0.683276,Kecimen
-0.76909,-1.042428,-0.262491,-1.706319,-0.790597,0.202711,-0.927987,Kecimen
-0.83324,-0.670274,-1.00745,0.381845,-0.828812,0.831939,-0.703699,Kecimen
-0.726759,-0.721978,-0.647717,-0.143933,-0.726063,0.18911,-0.729013,Kecimen
-1.116789,-0.95781,-1.517141,0.529986,-1.111476,-0.409041,-1.182717,Kecimen
-0.996334,-1.392333,-0.306587,-3.558753,-0.97451,0.219505,-1.07252,Kecimen
-0.485618,-0.75196,0.150039,-1.487318,-0.477322,-0.021712,-0.478092,Kecimen
-0.127637,-0.294946,0.305562,-0.535181,-0.1522,0.858956,-0.182988,Kecimen
-0.574536,-0.856564,-0.024909,-1.50732,-0.598565,1.221694,-0.695787,Kecimen
-0.159789,-0.320711,0.22658,-0.48556,-0.152617,-0.023137,0.078284,Kecimen
-1.113712,-0.934423,-1.555929,0.608773,-1.095312,0.626385,-1.029841,Kecimen
-0.932158,-0.884563,-1.046788,0.070431,-0.942231,0.099084,-1.052393,Kecimen
